old_name,speaker,label,new_name
0.wav,Alec Guinness,spoof,alec_guinness_spoof_0.wav
1.wav,Alec Guinness,spoof,alec_guinness_spoof_1.wav
2.wav,Barack Obama,spoof,barack_obama_spoof_2.wav
3.wav,Alec Guinness,spoof,alec_guinness_spoof_3.wav
4.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_4.wav
5.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_5.wav
6.wav,Barack Obama,spoof,barack_obama_spoof_6.wav
7.wav,Donald Trump,bona-fide,donald_trump_bona-fide_7.wav
8.wav,Donald Trump,bona-fide,donald_trump_bona-fide_8.wav
9.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_9.wav
10.wav,Bernie Sanders,spoof,bernie_sanders_spoof_10.wav
11.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_11.wav
12.wav,Calvin Coolidge,bona-fide,calvin_coolidge_bona-fide_12.wav
13.wav,Alec Guinness,spoof,alec_guinness_spoof_13.wav
14.wav,Barack Obama,bona-fide,barack_obama_bona-fide_14.wav
15.wav,Bernie Sanders,spoof,bernie_sanders_spoof_15.wav
16.wav,Winston Churchill,spoof,winston_churchill_spoof_16.wav
17.wav,Winston Churchill,spoof,winston_churchill_spoof_17.wav
18.wav,Donald Trump,bona-fide,donald_trump_bona-fide_18.wav
19.wav,Bob Ross,spoof,bob_ross_spoof_19.wav
20.wav,Donald Trump,bona-fide,donald_trump_bona-fide_20.wav
21.wav,Richard Nixon,spoof,richard_nixon_spoof_21.wav
22.wav,2Pac,bona-fide,2pac_bona-fide_22.wav
23.wav,Donald Trump,bona-fide,donald_trump_bona-fide_23.wav
24.wav,Ronald Reagan,spoof,ronald_reagan_spoof_24.wav
25.wav,Ayn Rand,spoof,ayn_rand_spoof_25.wav
26.wav,JFK,bona-fide,jfk_bona-fide_26.wav
27.wav,Arnold Schwarzenegger,bona-fide,arnold_schwarzenegger_bona-fide_27.wav
28.wav,Nick Offerman,bona-fide,nick_offerman_bona-fide_28.wav
29.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_29.wav
30.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_30.wav
31.wav,Bill Burr,spoof,bill_burr_spoof_31.wav
32.wav,Ronald Reagan,spoof,ronald_reagan_spoof_32.wav
33.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_33.wav
34.wav,Alec Guinness,spoof,alec_guinness_spoof_34.wav
35.wav,Ayn Rand,spoof,ayn_rand_spoof_35.wav
36.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_36.wav
37.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_37.wav
38.wav,Barack Obama,bona-fide,barack_obama_bona-fide_38.wav
39.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_39.wav
40.wav,Christopher Hitchens,spoof,christopher_hitchens_spoof_40.wav
41.wav,Donald Trump,spoof,donald_trump_spoof_41.wav
42.wav,Bernie Sanders,spoof,bernie_sanders_spoof_42.wav
43.wav,Ayn Rand,spoof,ayn_rand_spoof_43.wav
44.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_44.wav
45.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_45.wav
46.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_46.wav
47.wav,Alec Guinness,spoof,alec_guinness_spoof_47.wav
48.wav,Richard Nixon,bona-fide,richard_nixon_bona-fide_48.wav
49.wav,Barack Obama,bona-fide,barack_obama_bona-fide_49.wav
50.wav,George W. Bush,spoof,george_w._bush_spoof_50.wav
51.wav,Dave Chappelle,bona-fide,dave_chappelle_bona-fide_51.wav
52.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_52.wav
53.wav,Boris Johnson,bona-fide,boris_johnson_bona-fide_53.wav
54.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_54.wav
55.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_55.wav
56.wav,JFK,bona-fide,jfk_bona-fide_56.wav
57.wav,Alan Watts,spoof,alan_watts_spoof_57.wav
58.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_58.wav
59.wav,Louis C.K.,spoof,louis_c.k._spoof_59.wav
60.wav,The Notorious B.I.G.,spoof,the_notorious_b.i.g._spoof_60.wav
61.wav,Alec Guinness,spoof,alec_guinness_spoof_61.wav
62.wav,Ronald Reagan,spoof,ronald_reagan_spoof_62.wav
63.wav,Ayn Rand,spoof,ayn_rand_spoof_63.wav
64.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_64.wav
65.wav,Mark Zuckerberg,spoof,mark_zuckerberg_spoof_65.wav
66.wav,Barack Obama,bona-fide,barack_obama_bona-fide_66.wav
67.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_67.wav
68.wav,Bernie Sanders,spoof,bernie_sanders_spoof_68.wav
69.wav,Bernie Sanders,spoof,bernie_sanders_spoof_69.wav
70.wav,Alan Watts,bona-fide,alan_watts_bona-fide_70.wav
71.wav,Jimmy Carter,bona-fide,jimmy_carter_bona-fide_71.wav
72.wav,Barack Obama,bona-fide,barack_obama_bona-fide_72.wav
73.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_73.wav
74.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_74.wav
75.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_75.wav
76.wav,Bill Clinton,spoof,bill_clinton_spoof_76.wav
77.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_77.wav
78.wav,Dwight Eisenhower,bona-fide,dwight_eisenhower_bona-fide_78.wav
79.wav,2Pac,spoof,2pac_spoof_79.wav
80.wav,Donald Trump,bona-fide,donald_trump_bona-fide_80.wav
81.wav,Bernie Sanders,spoof,bernie_sanders_spoof_81.wav
82.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_82.wav
83.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_83.wav
84.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_84.wav
85.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_85.wav
86.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_86.wav
87.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_87.wav
88.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_88.wav
89.wav,Barack Obama,bona-fide,barack_obama_bona-fide_89.wav
90.wav,Donald Trump,bona-fide,donald_trump_bona-fide_90.wav
91.wav,Bill Clinton,spoof,bill_clinton_spoof_91.wav
92.wav,Mitch Hedberg,spoof,mitch_hedberg_spoof_92.wav
93.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_93.wav
94.wav,Barack Obama,bona-fide,barack_obama_bona-fide_94.wav
95.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_95.wav
96.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_96.wav
97.wav,Barack Obama,bona-fide,barack_obama_bona-fide_97.wav
98.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_98.wav
99.wav,Bill Burr,bona-fide,bill_burr_bona-fide_99.wav
100.wav,Alexandria Ocasio-Cortez,bona-fide,alexandria_ocasio-cortez_bona-fide_100.wav
101.wav,Christopher Hitchens,spoof,christopher_hitchens_spoof_101.wav
102.wav,Milton Friedman,bona-fide,milton_friedman_bona-fide_102.wav
103.wav,Bernie Sanders,spoof,bernie_sanders_spoof_103.wav
104.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_104.wav
105.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_105.wav
106.wav,FDR,bona-fide,fdr_bona-fide_106.wav
107.wav,Alec Guinness,spoof,alec_guinness_spoof_107.wav
108.wav,Donald Trump,bona-fide,donald_trump_bona-fide_108.wav
109.wav,Arnold Schwarzenegger,bona-fide,arnold_schwarzenegger_bona-fide_109.wav
110.wav,Milton Friedman,spoof,milton_friedman_spoof_110.wav
111.wav,Barack Obama,bona-fide,barack_obama_bona-fide_111.wav
112.wav,Barack Obama,bona-fide,barack_obama_bona-fide_112.wav
113.wav,Donald Trump,bona-fide,donald_trump_bona-fide_113.wav
114.wav,Ayn Rand,spoof,ayn_rand_spoof_114.wav
115.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_115.wav
116.wav,FDR,spoof,fdr_spoof_116.wav
117.wav,Alan Watts,spoof,alan_watts_spoof_117.wav
118.wav,Bernie Sanders,spoof,bernie_sanders_spoof_118.wav
119.wav,Barack Obama,bona-fide,barack_obama_bona-fide_119.wav
120.wav,Barack Obama,bona-fide,barack_obama_bona-fide_120.wav
121.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_121.wav
122.wav,FDR,spoof,fdr_spoof_122.wav
123.wav,Donald Trump,bona-fide,donald_trump_bona-fide_123.wav
124.wav,Barack Obama,bona-fide,barack_obama_bona-fide_124.wav
125.wav,Donald Trump,bona-fide,donald_trump_bona-fide_125.wav
126.wav,Mitch Hedberg,spoof,mitch_hedberg_spoof_126.wav
127.wav,George W. Bush,spoof,george_w._bush_spoof_127.wav
128.wav,Alan Watts,spoof,alan_watts_spoof_128.wav
129.wav,Milton Friedman,bona-fide,milton_friedman_bona-fide_129.wav
130.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_130.wav
131.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_131.wav
132.wav,JFK,spoof,jfk_spoof_132.wav
133.wav,Barack Obama,bona-fide,barack_obama_bona-fide_133.wav
134.wav,Donald Trump,bona-fide,donald_trump_bona-fide_134.wav
135.wav,Bernie Sanders,spoof,bernie_sanders_spoof_135.wav
136.wav,Alec Guinness,spoof,alec_guinness_spoof_136.wav
137.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_137.wav
138.wav,Donald Trump,spoof,donald_trump_spoof_138.wav
139.wav,Bernie Sanders,spoof,bernie_sanders_spoof_139.wav
140.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_140.wav
141.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_141.wav
142.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_142.wav
143.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_143.wav
144.wav,Queen Elizabeth II,spoof,queen_elizabeth_ii_spoof_144.wav
145.wav,Barack Obama,bona-fide,barack_obama_bona-fide_145.wav
146.wav,The Notorious B.I.G.,spoof,the_notorious_b.i.g._spoof_146.wav
147.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_147.wav
148.wav,Jerry Seinfeld,spoof,jerry_seinfeld_spoof_148.wav
149.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_149.wav
150.wav,Queen Elizabeth II,spoof,queen_elizabeth_ii_spoof_150.wav
151.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_151.wav
152.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_152.wav
153.wav,2Pac,spoof,2pac_spoof_153.wav
154.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_154.wav
155.wav,Alec Guinness,spoof,alec_guinness_spoof_155.wav
156.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_156.wav
157.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_157.wav
158.wav,Donald Trump,bona-fide,donald_trump_bona-fide_158.wav
159.wav,Bernie Sanders,spoof,bernie_sanders_spoof_159.wav
160.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_160.wav
161.wav,Donald Trump,bona-fide,donald_trump_bona-fide_161.wav
162.wav,Donald Trump,bona-fide,donald_trump_bona-fide_162.wav
163.wav,Alec Guinness,spoof,alec_guinness_spoof_163.wav
164.wav,Barack Obama,bona-fide,barack_obama_bona-fide_164.wav
